Time(sec),Images
0.1,"DJI_0010,DJI_0011,DJI_0012,DJI_0013"
0.2,"DJI_0010,DJI_0011,DJI_0012,DJI_0046,DJI_0047,DJI_0048,DJI_0049"
0.3,"DJI_0010,DJI_0011,DJI_0012,DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056"
0.4,"DJI_0011,DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056,DJI_0057"
0.5,"DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056,DJI_0057"
0.6,"DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056,DJI_0057"
0.7000000000000001,"DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056,DJI_0057"
0.8,"DJI_0046,DJI_0047,DJI_0048,DJI_0049,DJI_0055,DJI_0056,DJI_0057"
0.9,"DJI_0046,DJI_0047,DJI_0048,DJI_0055,DJI_0056,DJI_0057,DJI_0095"
1.0,"DJI_0047,DJI_0048,DJI_0055,DJI_0056,DJI_0057,DJI_0095,DJI_0096"
1.1,"DJI_0047,DJI_0048,DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096"
1.2,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.3,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.4,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.5,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.6,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.7000000000000002,"DJI_0055,DJI_0056,DJI_0057,DJI_0094,DJI_0095,DJI_0096,DJI_0097"
1.8,"DJI_0055,DJI_0056,DJI_0057,DJI_0093,DJI_0094,DJI_0095,DJI_0096,DJI_0097,DJI_0106,DJI_0107"
1.9,"DJI_0056,DJI_0057,DJI_0093,DJI_0094,DJI_0095,DJI_0096,DJI_0106,DJI_0107"
2.0,"DJI_0093,DJI_0094,DJI_0095,DJI_0096,DJI_0106,DJI_0107,DJI_0108"
2.1,"DJI_0093,DJI_0094,DJI_0095,DJI_0096,DJI_0106,DJI_0107,DJI_0108"
2.2,"DJI_0093,DJI_0094,DJI_0095,DJI_0096,DJI_0106,DJI_0107,DJI_0108"
2.3,"DJI_0093,DJI_0094,DJI_0095,DJI_0106,DJI_0107,DJI_0108,DJI_0109"
2.4,"DJI_0093,DJI_0094,DJI_0095,DJI_0106,DJI_0107,DJI_0108,DJI_0109"
2.5,"DJI_0093,DJI_0094,DJI_0095,DJI_0106,DJI_0107,DJI_0108,DJI_0109,DJI_0146,DJI_0147"
2.6,"DJI_0093,DJI_0094,DJI_0106,DJI_0107,DJI_0108,DJI_0109,DJI_0146,DJI_0147"
2.7,"DJI_0093,DJI_0094,DJI_0106,DJI_0107,DJI_0108,DJI_0109,DJI_0110,DJI_0145,DJI_0146,DJI_0147"
2.8,"DJI_0106,DJI_0107,DJI_0108,DJI_0109,DJI_0110,DJI_0145,DJI_0146,DJI_0147"
2.9,"DJI_0107,DJI_0108,DJI_0109,DJI_0110,DJI_0145,DJI_0146,DJI_0147"
3.0,"DJI_0107,DJI_0108,DJI_0109,DJI_0110,DJI_0144,DJI_0145,DJI_0146,DJI_0147"
3.1,"DJI_0107,DJI_0108,DJI_0109,DJI_0110,DJI_0144,DJI_0145,DJI_0146,DJI_0147"
3.2,"DJI_0108,DJI_0109,DJI_0110,DJI_0144,DJI_0145,DJI_0146,DJI_0147"
3.3,"DJI_0108,DJI_0109,DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0161,DJI_0162"
3.4,"DJI_0108,DJI_0109,DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0161,DJI_0162"
3.5,"DJI_0109,DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162"
3.6,"DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163"
3.7,"DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163"
3.8,"DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163"
3.9,"DJI_0144,DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163"
4.0,"DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163"
4.1,"DJI_0145,DJI_0146,DJI_0147,DJI_0160,DJI_0161,DJI_0162,DJI_0163,DJI_0199"
4.2,"DJI_0146,DJI_0159,DJI_0160,DJI_0161,DJI_0162,DJI_0163,DJI_0198,DJI_0199,DJI_0200"
4.3,"DJI_0159,DJI_0160,DJI_0161,DJI_0162,DJI_0198,DJI_0199,DJI_0200,DJI_0201"
4.4,"DJI_0159,DJI_0160,DJI_0161,DJI_0162,DJI_0198,DJI_0199,DJI_0200,DJI_0201"
4.5,"DJI_0159,DJI_0160,DJI_0161,DJI_0162,DJI_0198,DJI_0199,DJI_0200,DJI_0201"
4.6,"DJI_0159,DJI_0160,DJI_0161,DJI_0162,DJI_0198,DJI_0199,DJI_0200,DJI_0201"
4.7,"DJI_0160,DJI_0161,DJI_0198,DJI_0199,DJI_0200,DJI_0201,DJI_0213"
4.8,"DJI_0160,DJI_0161,DJI_0198,DJI_0199,DJI_0200,DJI_0201,DJI_0213,DJI_0214"
4.9,"DJI_0160,DJI_0161,DJI_0198,DJI_0199,DJI_0200,DJI_0201,DJI_0212,DJI_0213,DJI_0214"
5.0,"DJI_0198,DJI_0199,DJI_0200,DJI_0201,DJI_0202,DJI_0212,DJI_0213,DJI_0214"
5.1,"DJI_0199,DJI_0200,DJI_0201,DJI_0202,DJI_0212,DJI_0213,DJI_0214"
5.2,"DJI_0199,DJI_0200,DJI_0201,DJI_0211,DJI_0212,DJI_0213,DJI_0214"
5.3,"DJI_0199,DJI_0200,DJI_0201,DJI_0211,DJI_0212,DJI_0213,DJI_0214"
5.4,"DJI_0199,DJI_0200,DJI_0201,DJI_0211,DJI_0212,DJI_0213,DJI_0214"
5.5,"DJI_0200,DJI_0201,DJI_0211,DJI_0212,DJI_0213,DJI_0214,DJI_0254,DJI_0255"
5.6,"DJI_0200,DJI_0201,DJI_0211,DJI_0212,DJI_0213,DJI_0214,DJI_0253,DJI_0254,DJI_0255"
5.7,"DJI_0200,DJI_0211,DJI_0212,DJI_0213,DJI_0214,DJI_0253,DJI_0254,DJI_0255"
5.8,"DJI_0211,DJI_0212,DJI_0213,DJI_0214,DJI_0253,DJI_0254,DJI_0255"
5.9,"DJI_0211,DJI_0212,DJI_0213,DJI_0214,DJI_0253,DJI_0254,DJI_0255,DJI_0256"
6.0,"DJI_0212,DJI_0213,DJI_0253,DJI_0254,DJI_0255,DJI_0256,DJI_0265,DJI_0266"
6.1,"DJI_0254,DJI_0255,DJI_0263,DJI_0264,DJI_0265,DJI_0266,DJI_0267,DJI_0310,DJI_0311,DJI_0312"
6.2,"DJI_0255,DJI_0263,DJI_0264,DJI_0265,DJI_0266,DJI_0267,DJI_0310,DJI_0311,DJI_0312"
6.3,"DJI_0264,DJI_0265,DJI_0266,DJI_0309,DJI_0310,DJI_0311,DJI_0312,DJI_0313"
6.4,"DJI_0320,DJI_0321,DJI_0322,DJI_0323,DJI_0370,DJI_0371,DJI_0372,DJI_0373"
6.5,"DJI_0370,DJI_0371,DJI_0372,DJI_0373,DJI_0379,DJI_0380,DJI_0381,DJI_0382,DJI_0383"
6.6,"DJI_0379,DJI_0380,DJI_0381,DJI_0382,DJI_0383,DJI_0431,DJI_0432,DJI_0433,DJI_0434"
6.7,"DJI_0379,DJI_0380,DJI_0381,DJI_0382,DJI_0431,DJI_0432,DJI_0433,DJI_0434"
6.8,"DJI_0379,DJI_0380,DJI_0381,DJI_0382,DJI_0431,DJI_0432,DJI_0433,DJI_0434"
6.9,"DJI_0379,DJI_0380,DJI_0381,DJI_0382,DJI_0431,DJI_0432,DJI_0433,DJI_0434"
7.0,"DJI_0379,DJI_0380,DJI_0381,DJI_0431,DJI_0432,DJI_0433,DJI_0434,DJI_0443"
7.1,"DJI_0380,DJI_0381,DJI_0431,DJI_0432,DJI_0433,DJI_0434,DJI_0442,DJI_0443,DJI_0444"
7.2,"DJI_0431,DJI_0432,DJI_0433,DJI_0434,DJI_0442,DJI_0443,DJI_0444"
7.3,"DJI_0431,DJI_0432,DJI_0433,DJI_0434,DJI_0442,DJI_0443,DJI_0444,DJI_0445"
7.4,"DJI_0431,DJI_0432,DJI_0433,DJI_0434,DJI_0442,DJI_0443,DJI_0444,DJI_0445"
7.5,"DJI_0432,DJI_0433,DJI_0434,DJI_0441,DJI_0442,DJI_0443,DJI_0444,DJI_0445,DJI_0496,DJI_0497"
7.6,"DJI_0432,DJI_0433,DJI_0441,DJI_0442,DJI_0443,DJI_0444,DJI_0445,DJI_0495,DJI_0496,DJI_0497"
7.7,"DJI_0441,DJI_0442,DJI_0443,DJI_0444,DJI_0445,DJI_0495,DJI_0496,DJI_0497"
